participant,nome,cognome,anno,mese,giorno,cellulare,sesso,esperimento,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.0eaca7be-c47e-443f-923e-36a342a38241.txt,18914,18914,18914,18914,18914,18914,18914,"",0,2021-03-16-14-15,2021-03-16-14-21,6
s.de941752-c47e-44b2-94bd-2314460ee9a4.txt,37190,37190,37190,37190,37190,37190,37190,"",0,2021-03-16-21-15,2021-03-16-21-22,7
s.b8ecdcac-efa0-4da4-b5e6-5950967dcad5.txt,20695,20695,20695,20695,20695,20695,20695,"",0,2021-01-08-15-04,2021-01-08-15-10,6
s.2c610d91-68db-42f4-85de-428fe406e07b.txt,21724,21724,21724,21724,21724,21724,21724,"",0,2021-03-16-21-29,2021-03-16-21-35,6
s.fd0447b8-249c-484f-8be2-f51066f0af2a.txt,35009,35009,35009,35009,35009,35009,35009,"",0,2021-03-25-21-55,2021-03-25-22-01,6
s.26a8ea76-e636-4fa4-8f30-9e3933cd2e9e.txt,19081,19081,19081,19081,19081,19081,19081,"",0,2021-03-16-08-57,2021-03-16-09-02,5
s.7d74efc8-80e6-433b-a963-0a00cb593a55.txt,74462,74462,74462,74462,74462,74462,74462,"",0,2021-04-30-21-37,2021-04-30-21-44,7
s.5c6d9c25-aae9-4113-b785-783db7dd4363.txt,23295,23295,23295,23295,23295,23295,23295,"",0,2021-03-16-22-05,2021-03-16-22-11,6
s.0b317576-b608-4fbc-a99d-5759bbbe4282.txt,96917,96917,96917,96917,96917,96917,96917,"",0,2021-03-17-16-00,2021-03-17-16-08,8
s.9c01a817-6444-4933-b717-f5a97a3abd97.txt,25705,25705,25705,25705,25705,25705,25705,"",0,2021-04-04-23-32,2021-04-04-23-39,7
s.21589ca2-5faa-420d-972d-0c56cab68be0.txt,19895,19895,19895,19895,19895,19895,19895,"",0,2021-03-16-18-02,2021-03-16-18-08,6
s.5cd27b9c-1058-43a1-83a7-abb03962468e.txt,22974,22974,22974,22974,22974,22974,22974,"",0,2021-03-27-12-01,2021-03-27-12-07,6
