participant,nome,cognome,anno,mese,giorno,cellulare,sesso,esperimento,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.49812d8b-eb38-4169-a601-526ab2af1b3e.txt,17896,17896,17896,17896,17896,17896,17896,"",0,2021-03-16-11-40,2021-03-16-11-46,6
s.a7232641-2b8a-4891-86aa-9fd936b2cfba.txt,27563,27563,27563,27563,27563,27563,27563,"",0,2021-03-16-17-25,2021-03-16-17-29,4
s.266cf56a-7760-49c1-b9ff-84b06b77d9da.txt,23988,23988,23988,23988,23988,23988,23988,"",0,2020-11-27-22-48,2020-11-27-22-54,6
s.aaaad647-4f10-4377-8564-09133fb2d9fe.txt,47058,47058,47058,47058,47058,47058,47058,"",0,2021-05-07-09-54,2021-05-07-10-13,19
s.98cab9be-f08b-4b34-9fad-055d82b8a655.txt,35146,35146,35146,35146,35146,35146,35146,"",0,2020-12-06-22-59,2020-12-06-23-09,10
s.89f42cd1-d820-4cd7-a641-111a0d4c501d.txt,31388,31388,31388,31388,31388,31388,31388,"",0,2021-03-16-19-10,2021-03-16-19-16,6
s.716bacb1-7b2c-463c-9238-710c4725455d.txt,35138,35138,35138,35138,35138,35138,35138,"",0,2021-03-16-17-45,2021-03-16-17-53,8
s.749d6251-bad1-4102-89fe-649afb105103.txt,21788,21788,21788,21788,21788,21788,21788,"",0,2020-12-08-09-39,2020-12-08-09-45,6
s.eec43028-43a0-4f70-a635-7c2b18273c3b.txt,23983,23983,23983,23983,23983,23983,23983,"",0,2020-11-25-19-18,2020-11-25-19-23,5
s.367b07ed-8d12-415e-9793-f5f6833fdde1.txt,49874,49874,49874,49874,49874,49874,49874,"",0,2021-03-17-17-46,2021-03-17-17-53,7
s.b4995df3-1ef2-4776-b2d8-03cb322e7324.txt,4114875,4114875,4114875,4114875,4114875,4114875,4114875,"",0,2021-01-27-20-17,2021-01-27-21-36,79
s.5f7ff571-0c46-468b-8a65-73f1a1af3b7c.txt,31426,31426,31426,31426,31426,31426,31426,"",0,2021-03-15-20-16,2021-03-15-20-22,6
s.c104b67f-0734-4148-b874-265b0d437e6a.txt,17490,17490,17490,17490,17490,17490,17490,"",0,2020-12-01-22-35,2020-12-01-22-42,7
s.468bbda6-7800-4e46-8a47-faea1c2d047f.txt,23433,23433,23433,23433,23433,23433,23433,"",0,2020-12-01-23-01,2020-12-01-23-09,8
s.c4abb370-9da5-4ff8-b0f0-1b6b19a542e1.txt,164498,164498,164498,164498,164498,164498,164498,"",0,2020-12-03-14-15,2020-12-03-14-25,10
s.1d7ad027-00d8-43bf-88cb-110784a49c96.txt,35810,35810,35810,35810,35810,35810,35810,"",0,2021-03-15-18-59,2021-03-15-19-07,8
s.5a42eaf2-696e-49b1-ae6a-2cfcf0c2a60c.txt,30931,30931,30931,30931,30931,30931,30931,"",0,2021-03-25-09-47,2021-03-25-09-54,7
s.d6995171-6e6f-46b0-ab92-15608211f565.txt,36907,36907,36907,36907,36907,36907,36907,"",0,2021-03-16-12-58,2021-03-16-13-03,5
s.98b7f905-19ba-428c-82a6-70407da5b756.txt,23650,23650,23650,23650,23650,23650,23650,"",0,2021-03-17-18-01,2021-03-17-18-10,9
s.c25674e9-00db-47cc-a232-72d6a17621a0.txt,35926,35926,35926,35926,35926,35926,35926,"",0,2021-03-15-17-07,2021-03-15-17-14,7
s.2a7083ae-1167-46aa-b3be-9015ac9f698f.txt,19007,19007,19007,19007,19007,19007,19007,"",0,2020-12-11-11-57,2020-12-11-12-02,5
s.f7681f55-99e9-4206-96c3-53969605574e.txt,54375,54375,54375,54375,54375,54375,54375,"",0,2021-03-16-08-33,2021-03-16-11-32,179
s.40f4a17f-d56f-4d9d-b3d8-2206d2d09391.txt,47269,47269,47269,47269,47269,47269,47269,"",0,2021-03-12-16-59,2021-03-12-17-10,11
s.13bf0bdd-961a-42ac-a76f-f84891678429.txt,18904,18904,18904,18904,18904,18904,18904,"",0,2020-12-02-22-02,2020-12-02-22-08,6
s.17cb0a74-baaa-40af-bfde-d8abbd2ace19.txt,48914,48914,48914,48914,48914,48914,48914,"",0,2021-03-16-13-54,2021-03-16-14-01,7
s.36c2dfd7-4443-4805-a91e-03b4c912d399.txt,39167,39167,39167,39167,39167,39167,39167,"",0,2021-01-22-21-22,2021-01-22-21-27,5
s.168abac4-eed4-4cab-8182-27b0f5be0d59.txt,50900,50900,50900,50900,50900,50900,50900,"",0,2021-03-15-11-14,2021-03-15-11-21,7
s.b0699b5e-fa69-4359-b6f3-ac02518d8fe6.txt,29547,29547,29547,29547,29547,29547,29547,"",0,2021-03-16-18-59,2021-03-16-19-04,5
s.f88c089a-7e96-4d47-841c-fa59d8502cac.txt,37834,37834,37834,37834,37834,37834,37834,"",0,2021-03-17-18-23,2021-03-17-18-30,7
s.f1ff6368-7fd6-4be2-b5c5-006d93851a37.txt,40401,40401,40401,40401,40401,40401,40401,"",0,2021-04-07-16-35,2021-04-07-16-46,11
s.98b7b2a4-e4a2-4eee-9d9e-2bc7552d2bd9.txt,95734,95734,95734,95734,95734,95734,95734,"",0,2020-12-03-15-43,2020-12-03-15-49,6
s.2786ec87-06ce-471d-9050-7c6f96eb7f8b.txt,21666,21666,21666,21666,21666,21666,21666,"",0,2021-04-27-09-28,2021-04-27-09-33,5
s.f6a4671b-f0c5-4798-a86e-5e1c63b5985b.txt,34495,34495,34495,34495,34495,34495,34495,"",0,2021-03-18-15-14,2021-03-18-15-21,7
s.3ccabe53-018d-44c2-8f1f-16a680eacfe8.txt,50022,50022,50022,50022,50022,50022,50022,"",0,2021-03-15-14-58,2021-03-15-15-05,7
s.be6105b7-83f0-4ac0-83c6-6960b5df9280.txt,22127,22127,22127,22127,22127,22127,22127,"",0,2020-12-04-20-08,2020-12-04-20-15,7
s.c7fa0766-9ea0-446c-84d3-da036396592d.txt,22920,22920,22920,22920,22920,22920,22920,"",0,2021-03-16-09-25,2021-03-16-09-32,7
