participant,nome,cognome,anno,mese,giorno,cellulare,sesso,esperimento,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.7cc4f813-5ecb-4a76-af85-0d458c035b75.txt,24799,24799,24799,24799,24799,24799,24799,"",0,2020-12-17-19-36,2020-12-17-19-43,7
s.b50b88cc-e9ab-44fc-950a-dcf1ae6c87dc.txt,20120,20120,20120,20120,20120,20120,20120,"",0,2021-03-16-17-11,2021-03-16-17-19,8
s.94a0d4e1-5a00-4305-9b98-e08f31895a83.txt,19458,19458,19458,19458,19458,19458,19458,"",0,2021-03-15-14-58,2021-03-15-15-06,8
s.b52864be-2ff0-44ba-8e41-885433a658a7.txt,103677,103677,103677,103677,103677,103677,103677,"",0,2021-03-15-17-43,2021-03-15-17-51,8
s.cd2e29e9-aade-4fb1-8646-0f93a01c6a56.txt,23455,23455,23455,23455,23455,23455,23455,"",0,2021-03-15-16-37,2021-03-15-16-43,6
s.7dc85cc8-6472-4353-8c9e-a1a91a990551.txt,22207,22207,22207,22207,22207,22207,22207,"",0,2020-12-18-23-23,2020-12-18-23-30,7
s.e0f489f9-3801-439d-abbc-9241905a9757.txt,22816,22816,22816,22816,22816,22816,22816,"",0,2021-03-17-14-37,2021-03-17-14-42,5
s.f444394c-53ed-45c1-a54b-95da82f5f1c0.txt,29848,29848,29848,29848,29848,29848,29848,"",0,2021-03-25-20-14,2021-03-25-20-23,9
s.bf4a1c28-098e-40d4-8aa2-f85a7a5ce5c2.txt,46111,46111,46111,46111,46111,46111,46111,"",0,2021-03-30-18-09,2021-03-30-18-16,7
s.cea1c3a9-3db9-4a50-b398-e440910a222a.txt,21060,21060,21060,21060,21060,21060,21060,"",0,2021-03-15-16-27,2021-03-15-16-32,5
s.d7e7bcaa-7cd8-49ba-814c-225085c30f8e.txt,25966,25966,25966,25966,25966,25966,25966,"",0,2021-05-24-17-15,2021-05-24-17-21,6
s.752e47be-d5e0-4a01-9dc9-4769f0bb854a.txt,43181,43181,43181,43181,43181,43181,43181,"",0,2021-03-16-14-46,2021-03-16-14-50,4
s.047652f1-4ae1-47e4-b03c-b1bc3e68ce1e.txt,16293,16293,16293,16293,16293,16293,16293,"",0,2021-01-30-12-10,2021-01-30-12-16,6
s.5902dc8a-7c79-497a-be00-4c142f92541e.txt,27098,27098,27098,27098,27098,27098,27098,"",0,2021-03-15-18-06,2021-03-15-18-12,6
s.948abcd9-c9cd-4b13-addc-19dc09fb4de8.txt,19505,19505,19505,19505,19505,19505,19505,"",0,2021-03-15-16-48,2021-03-15-16-53,5
s.f716c6d8-2167-4112-8acc-7add8a82d264.txt,17105,17105,17105,17105,17105,17105,17105,"",0,2020-12-03-12-41,2020-12-03-12-44,3
s.409b758c-edfa-4ff0-8d50-9c499aac15ca.txt,31128,31128,31128,31128,31128,31128,31128,"",0,2021-03-16-17-13,2021-03-16-17-20,7
s.072afbac-765f-4497-9911-ff298dd67c53.txt,27111,27111,27111,27111,27111,27111,27111,"",0,2021-03-15-18-58,2021-03-15-19-06,8
s.d39a6193-2db0-4e23-aa66-28a7a24890ec.txt,40470,40470,40470,40470,40470,40470,40470,"",0,2021-03-17-16-39,2021-03-17-16-50,11
s.fb641ac8-cdef-4316-81ae-09f3a0c5e98e.txt,28782,28782,28782,28782,28782,28782,28782,"",0,2021-03-16-12-24,2021-03-16-12-29,5
s.abf0dc8f-aea6-45c3-9b42-154b1b1b8e2f.txt,68960,68960,68960,68960,68960,68960,68960,"",0,2021-03-20-19-52,2021-03-20-20-04,12
s.3ff382de-5a80-44a5-abcd-029f196c9e90.txt,68476,68476,68476,68476,68476,68476,68476,"",0,2021-03-16-12-06,2021-03-16-12-13,7
s.426879ac-3ca2-42ce-bb6b-9c03f6265708.txt,28282,28282,28282,28282,28282,28282,28282,"",0,2021-01-27-20-04,2021-01-27-20-09,5
s.0eccc121-f06d-45e5-b2ab-1a984802d180.txt,23836,23836,23836,23836,23836,23836,23836,"",0,2021-03-18-13-58,2021-03-18-14-04,6
s.26e8b652-e7ff-4f3c-89a5-fab051905bda.txt,25930,25930,25930,25930,25930,25930,25930,"",0,2021-01-21-20-06,2021-01-21-20-15,9
s.9d14e636-28df-400f-b9db-7fa19e0c686f.txt,25434,25434,25434,25434,25434,25434,25434,"",0,2021-03-15-21-06,2021-03-15-21-10,4
s.62579099-ffa1-4452-a76a-090cb55aeeca.txt,37198,37198,37198,37198,37198,37198,37198,"",0,2021-05-20-20-04,2021-05-20-20-10,6
s.df739cb0-db02-43c4-8200-63e53f07e2cf.txt,18841,18841,18841,18841,18841,18841,18841,"",0,2021-04-28-08-56,2021-04-28-09-05,9
s.d2190756-549e-4300-8c1f-19ee26ca749c.txt,35373,35373,35373,35373,35373,35373,35373,"",0,2021-03-15-14-56,2021-03-15-15-08,12
s.fc5d1770-f33d-4d57-893d-310fa21de9f3.txt,25179,25179,25179,25179,25179,25179,25179,"",0,2021-02-03-12-52,2021-02-03-13-04,12
s.0ac8865f-beff-4cbf-bff4-de6eb3b6bb58.txt,28240,28240,28240,28240,28240,28240,28240,"",0,2021-03-19-15-11,2021-03-19-15-18,7
s.20e13fa5-5d64-4325-8c25-5eb466cf51f7.txt,54625,54625,54625,54625,54625,54625,54625,"",0,2021-03-15-14-43,2021-03-15-14-50,7
s.0a396881-d309-4643-88dc-0915a0d61d32.txt,21269,21269,21269,21269,21269,21269,21269,"",0,2021-05-21-21-04,2021-05-21-21-15,11
s.f85913e3-2a50-44c1-b447-354600d87da8.txt,45051,45051,45051,45051,45051,45051,45051,"",0,2021-05-17-21-06,2021-05-17-21-13,7
s.4677972b-d036-456b-a320-64b424e04346.txt,21761,21761,21761,21761,21761,21761,21761,"",0,2021-03-17-19-42,2021-03-17-19-48,6
s.aaa7875f-746c-49f8-9a65-9f2fc61f2109.txt,13086,13086,13086,13086,13086,13086,13086,"",0,2020-12-01-22-10,2020-12-01-22-15,5
s.1b67b672-25f1-4064-b4a7-b82bc5b8c95d.txt,20203,20203,20203,20203,20203,20203,20203,"",0,2021-01-27-12-22,2021-01-27-12-28,6
s.03072d14-0410-4199-8a25-9c4a759fb548.txt,31884,31884,31884,31884,31884,31884,31884,"",0,2021-03-17-17-03,2021-03-17-17-10,7
s.c8e22d1c-2d18-489a-ab9e-f188d3df2a09.txt,25130,25130,25130,25130,25130,25130,25130,"",0,2020-12-10-10-56,2020-12-10-11-05,9
s.85256c7a-f636-44f5-988b-e5e06fb45fbf.txt,25350,25350,25350,25350,25350,25350,25350,"",0,2021-03-21-17-57,2021-03-21-18-01,4
s.648292ec-0f5a-486f-a119-5f3663dc9fc4.txt,35779,35779,35779,35779,35779,35779,35779,"",0,2020-12-04-17-42,2020-12-04-17-47,5
s.90cbab37-07af-4e94-86e7-667839b1f1ad.txt,24773,24773,24773,24773,24773,24773,24773,"",0,2021-01-21-19-42,2021-01-21-19-50,8
s.0d5d9fdf-096b-4b3f-88c1-110c0d6a5cc8.txt,31562,31562,31562,31562,31562,31562,31562,"",0,2021-03-15-23-06,2021-03-15-23-12,6
s.bf3d69ef-3edd-4449-bd3b-43e2543b613e.txt,20800,20800,20800,20800,20800,20800,20800,"",0,2021-01-21-20-38,2021-01-21-20-45,7
s.ea377308-e9f0-42b2-a202-89c2789be422.txt,24434,24434,24434,24434,24434,24434,24434,"",0,2021-04-27-09-18,2021-04-27-09-24,6
s.708927bd-8582-4bd0-86d1-648ebaad3ffb.txt,19896,19896,19896,19896,19896,19896,19896,"",0,2021-03-17-19-23,2021-03-17-19-29,6
s.c12457fe-bf36-470e-8ff9-214ff7fbed3f.txt,30690,30690,30690,30690,30690,30690,30690,"",0,2021-03-15-17-56,2021-03-15-18-02,6
s.72b868c6-36f2-4535-859a-8f99805c9934.txt,30028,30028,30028,30028,30028,30028,30028,"",0,2021-03-19-15-33,2021-03-19-15-40,7
s.3c83d5e8-29bf-4a60-a113-0ea1ba71da95.txt,28222,28222,28222,28222,28222,28222,28222,"",0,2021-03-17-11-59,2021-03-17-12-09,10
s.45505e8e-49c1-426e-8d2c-94500b6506e1.txt,49187,49187,49187,49187,49187,49187,49187,"",0,2021-03-15-18-50,2021-03-15-18-57,7
s.04d4cf16-fa1c-4603-a682-fc54966106e4.txt,27557,27557,27557,27557,27557,27557,27557,"",0,2021-03-17-12-01,2021-03-17-12-08,7
s.c4780948-ed62-4fff-bb0e-cd1dac40b35f.txt,25366,25366,25366,25366,25366,25366,25366,"",0,2021-03-17-11-50,2021-03-17-11-56,6
s.6a5589ec-006d-455d-ad93-ab390e264b30.txt,30957,30957,30957,30957,30957,30957,30957,"",0,2020-12-04-15-15,2020-12-04-15-28,13
s.63068ced-4583-4672-ab9a-9b861950bd9b.txt,27434,27434,27434,27434,27434,27434,27434,"",0,2021-03-16-10-14,2021-03-16-10-21,7
s.d72d44a5-bf30-447f-97d7-5a0143d29a4c.txt,79088,79088,79088,79088,79088,79088,79088,"",0,2021-02-14-17-59,2021-02-14-18-05,6
s.ec4e54db-0956-4127-988b-94e455244e0b.txt,38892,38892,38892,38892,38892,38892,38892,"",0,2021-05-12-15-27,2021-05-12-15-33,6
s.a3d11f96-7db2-4c8e-bae4-c3928d7eaeaa.txt,124255,124255,124255,124255,124255,124255,124255,"",0,2020-12-12-14-24,2020-12-12-15-16,52
s.5488cb1b-7350-4e13-80d3-cb8e222b26dc.txt,26047,26047,26047,26047,26047,26047,26047,"",0,2021-03-20-17-15,2021-03-20-17-23,8
s.0f231140-f421-4c24-82fe-47a267ceff27.txt,24969,24969,24969,24969,24969,24969,24969,"",0,2021-03-15-18-28,2021-03-15-18-35,7
s.d7126e07-63cf-4bf4-a26b-eeb5cdd3faf6.txt,20314,20314,20314,20314,20314,20314,20314,"",0,2021-01-22-22-23,2021-01-22-22-29,6
s.2bc6b265-4398-41ea-aade-d1622b31691f.txt,33471,33471,33471,33471,33471,33471,33471,"",0,2021-05-12-18-54,2021-05-12-19-03,9
s.d81bfaa0-61a6-44b3-a8bb-af168488b7b2.txt,20777,20777,20777,20777,20777,20777,20777,"",0,2021-06-15-10-34,2021-06-15-10-40,6
s.2571c3b3-717d-4b82-8211-cdba67102512.txt,52976,52976,52976,52976,52976,52976,52976,"",0,2021-03-16-17-29,2021-03-16-17-40,11
s.dee8c7e5-c9d3-4ec0-a198-a449e70c236b.txt,27864,27864,27864,27864,27864,27864,27864,"",0,2020-12-06-19-31,2020-12-06-19-38,7
s.b144a3e5-2948-4a51-aeda-bf688f238bb4.txt,23695,23695,23695,23695,23695,23695,23695,"",0,2021-01-05-19-50,2021-01-05-20-48,58
s.fe5fe8f2-18e0-48f2-a212-d0ef01007b7a.txt,34186,34186,34186,34186,34186,34186,34186,"",0,2021-03-15-20-26,2021-03-15-20-33,7
s.c4102b11-4933-4d7d-9a61-10fa52a1a0dd.txt,29907,29907,29907,29907,29907,29907,29907,"",0,2021-03-27-16-12,2021-03-27-16-23,11
s.2f130cf9-aa3a-4f85-89fa-fa8573af8826.txt,201859,201859,201859,201859,201859,201859,201859,"",0,2021-02-06-16-59,2021-02-06-17-08,9
s.dbdd4acb-53c4-4729-a49e-b057dc9eeaef.txt,15428,15428,15428,15428,15428,15428,15428,"",0,2021-03-15-15-17,2021-03-15-15-22,5
s.ff3ebd6f-7983-4788-808a-0e9ceeedff65.txt,34499,34499,34499,34499,34499,34499,34499,"",0,2021-03-16-10-59,2021-03-16-11-31,32
s.904f67f8-ca13-479e-b224-40b1a3d2a058.txt,22997,22997,22997,22997,22997,22997,22997,"",0,2021-02-25-12-56,2021-02-25-13-03,7
s.8f40b776-bfad-42b5-b4ae-f7eb207f72c8.txt,89510,89510,89510,89510,89510,89510,89510,"",0,2021-01-06-18-04,2021-01-06-18-12,8
s.ec0b4506-8eab-43ae-84b0-2bebbc56adde.txt,19835,19835,19835,19835,19835,19835,19835,"",0,2021-05-21-19-01,2021-05-21-19-06,5
s.2dbd18b3-0f32-4f0d-b40e-0aa86b0e986d.txt,29614,29614,29614,29614,29614,29614,29614,"",0,2021-03-15-19-18,2021-03-15-19-24,6
s.f8fe2251-7256-44b0-8246-59c3b8a4a2ee.txt,32066,32066,32066,32066,32066,32066,32066,"",0,2021-04-04-19-45,2021-04-04-19-54,9
s.f45d5211-9347-45a8-8456-752242fd109f.txt,30112,30112,30112,30112,30112,30112,30112,"",0,2021-04-28-15-59,2021-04-28-16-07,8
s.3aa1eb7b-597e-4a2a-a696-3794317829df.txt,43092,43092,43092,43092,43092,43092,43092,"",0,2021-03-27-11-18,2021-03-27-11-26,8
s.8f11d087-988c-4baf-9a62-3f98f1cae949.txt,38709,38709,38709,38709,38709,38709,38709,"",0,2021-03-30-03-04,2021-03-30-03-11,7
s.bc878bcf-00bb-4aca-887e-0734f6bf6753.txt,1356851,1356851,1356851,1356851,1356851,1356851,1356851,"",0,2020-12-02-15-36,2020-12-02-16-04,28
s.d41918a0-b125-43e3-b0fa-31fc7dc3abca.txt,44278,44278,44278,44278,44278,44278,44278,"",0,2021-03-15-19-43,2021-03-15-20-32,49
s.e0768076-00da-4f1e-8b7e-91373866e3c7.txt,25519,25519,25519,25519,25519,25519,25519,"",0,2020-12-04-19-40,2020-12-04-19-46,6
s.3a31b695-6fc5-46c7-ab66-cac98c339442.txt,29245,29245,29245,29245,29245,29245,29245,"",0,2020-12-02-17-01,2020-12-02-17-10,9
s.1b5bb9f1-4b03-4815-885a-3ed45a2f6faf.txt,17081,17081,17081,17081,17081,17081,17081,"",0,2021-05-11-16-29,2021-05-11-16-34,5
s.83a67d4f-8874-4b5a-a878-82c1381c7d76.txt,21921,21921,21921,21921,21921,21921,21921,"",0,2021-05-08-14-59,2021-05-08-15-07,8
s.bf06415e-0730-498a-9bd0-11940f038535.txt,18126,18126,18126,18126,18126,18126,18126,"",0,2020-12-01-19-22,2020-12-01-19-28,6
s.5e852272-efe7-4d22-a964-56452d82a312.txt,22389,22389,22389,22389,22389,22389,22389,"",0,2021-05-18-13-21,2021-05-18-13-26,5
s.afac849d-712e-4f6b-8503-b3f2ab5f6726.txt,17922,17922,17922,17922,17922,17922,17922,"",0,2020-12-07-15-50,2020-12-07-15-57,7
s.a7f2f908-cbf0-4e8e-ac74-a9cb9c047966.txt,32239,32239,32239,32239,32239,32239,32239,"",0,2021-03-15-19-44,2021-03-15-19-48,4
s.5c7afd1f-4927-498b-bbe3-f986d4a60046.txt,19158,19158,19158,19158,19158,19158,19158,"",0,2020-12-01-19-45,2020-12-01-19-51,6
s.8229c3d8-4ae4-41c0-b2a0-927c34fc6c18.txt,22589,22589,22589,22589,22589,22589,22589,"",0,2021-04-17-09-59,2021-04-17-10-03,4
s.44629eea-54f7-44d9-9654-a65b147784ff.txt,20253,20253,20253,20253,20253,20253,20253,"",0,2020-11-26-15-47,2020-11-26-15-55,8
s.780b0679-c97b-4aeb-850e-e3f918274a9b.txt,32398,32398,32398,32398,32398,32398,32398,"",0,2021-04-28-15-20,2021-04-28-15-26,6
s.8520f8be-307a-4281-83b1-cc89c8421ea5.txt,25143,25143,25143,25143,25143,25143,25143,"",0,2021-03-04-19-31,2021-03-04-19-36,5
s.d6a1e24c-ce73-4b50-b88d-08464b612915.txt,38654,38654,38654,38654,38654,38654,38654,"",0,2021-03-16-09-04,2021-03-16-09-11,7
s.91bdc048-91d1-43d4-a8ce-d6064478d7a5.txt,35641,35641,35641,35641,35641,35641,35641,"",0,2021-03-15-18-02,2021-03-15-18-09,7
s.5f4213a7-12a1-4541-99b9-6fe0dec040ff.txt,25175,25175,25175,25175,25175,25175,25175,"",0,2021-05-23-10-44,2021-05-23-10-51,7
s.3a4534e7-e6b9-4b2f-9d83-a2d3a99402c4.txt,27936,27936,27936,27936,27936,27936,27936,"",0,2021-03-18-15-32,2021-03-18-15-38,6
s.d8129700-6e43-45c9-b90d-d855db5f2967.txt,27277,27277,27277,27277,27277,27277,27277,"",0,2021-01-08-14-40,2021-01-08-14-47,7
s.3e9c493a-202b-4292-a3cf-699fb19ba7b2.txt,44656,44656,44656,44656,44656,44656,44656,"",0,2020-11-24-18-48,2020-11-24-18-55,7
s.14a3ff40-da38-4b0a-9170-bf11670ae4eb.txt,61744,61744,61744,61744,61744,61744,61744,"",0,2021-03-15-17-53,2021-03-15-18-00,7
s.e96745d4-9f76-40e4-abe0-bca09a343a59.txt,24836,24836,24836,24836,24836,24836,24836,"",0,2021-01-07-16-46,2021-01-07-16-52,6
s.4479d60d-25cd-44a2-b3f7-b1568eecdef8.txt,21985,21985,21985,21985,21985,21985,21985,"",0,2021-03-15-18-29,2021-03-15-18-37,8
s.28a7c1a2-d245-4dd7-b42e-0daceac69af0.txt,52872,52872,52872,52872,52872,52872,52872,"",0,2021-03-21-18-21,2021-03-21-18-30,9
s.cdeb7776-2562-4042-9a34-cc82ee04e3b3.txt,27434,27434,27434,27434,27434,27434,27434,"",0,2021-04-14-19-48,2021-04-14-19-54,6
s.ac229e97-e69e-4e24-9fc8-19fc4073c18c.txt,22019,22019,22019,22019,22019,22019,22019,"",0,2021-03-26-14-29,2021-03-26-14-37,8
s.e8f03a43-8e7d-4637-b537-97a6ceba3b92.txt,42672,42672,42672,42672,42672,42672,42672,"",0,2021-03-25-09-59,2021-03-25-10-07,8
s.6295fd99-3873-4ab6-9d66-0c6c4456917e.txt,23280,23280,23280,23280,23280,23280,23280,"",0,2021-03-15-23-06,2021-03-15-23-12,6
s.568969c1-097c-4123-97f2-b8c50de5dff7.txt,20874,20874,20874,20874,20874,20874,20874,"",0,2021-01-09-12-13,2021-01-09-12-21,8
s.02194638-a0a1-4f1b-9786-4e24aaedb75a.txt,26155,26155,26155,26155,26155,26155,26155,"",0,2021-03-18-09-26,2021-03-18-09-33,7
s.03d9ef76-67ab-4cd9-b9ea-053cb0affcd0.txt,20800,20800,20800,20800,20800,20800,20800,"",0,2021-03-18-16-12,2021-03-18-16-24,12
s.80d9213d-d75e-47a3-96a6-821a67511f22.txt,123890,123890,123890,123890,123890,123890,123890,"",0,2021-03-23-20-40,2021-03-23-20-46,6
s.f76a9c82-3f1a-458e-b6ba-bf87cd87fdba.txt,37173,37173,37173,37173,37173,37173,37173,"",0,2022-03-01-11-33,2022-03-01-11-42,9
s.a6cbdde0-3a34-4873-ac3f-ca3fe271ab98.txt,21573,21573,21573,21573,21573,21573,21573,"",0,2021-03-15-14-33,2021-03-15-14-39,6
s.66929f40-3d21-4819-80f1-542b741ef33c.txt,27266,27266,27266,27266,27266,27266,27266,"",0,2020-12-02-17-00,2020-12-02-17-08,8
s.1eca5c3b-3c0b-474e-8de0-ae6b528dd304.txt,45644,45644,45644,45644,45644,45644,45644,"",0,2021-03-15-17-31,2021-03-15-17-40,9
s.727d7a2b-aa95-4c89-acfe-f225fad88e06.txt,39631,39631,39631,39631,39631,39631,39631,"",0,2021-03-16-15-49,2021-03-16-15-55,6
s.f6ef25fe-8c52-4262-a6ef-897e8b95f327.txt,87285,87285,87285,87285,87285,87285,87285,"",0,2022-01-08-22-23,2022-01-08-22-29,6
s.b5aed4e0-a4b8-43a7-84c5-177977f3d9e8.txt,40071,40071,40071,40071,40071,40071,40071,"",0,2021-03-15-19-40,2021-03-15-19-47,7
s.0fa6f20d-5850-4430-bb9a-a00cd790b338.txt,21397,21397,21397,21397,21397,21397,21397,"",0,2021-04-24-10-50,2021-04-24-11-04,14
s.ac6729c0-173c-46bf-a10b-83734f2cfc2d.txt,20321,20321,20321,20321,20321,20321,20321,"",0,2020-12-05-19-26,2020-12-05-19-32,6
s.4efad138-8198-4293-939b-9eacde764c7f.txt,36346,36346,36346,36346,36346,36346,36346,"",0,2020-11-26-22-01,2020-11-26-22-12,11
s.aa3b22a9-f7aa-4aa4-bc85-c9c3388fb6eb.txt,29524,29524,29524,29524,29524,29524,29524,"",0,2021-03-19-18-34,2021-03-19-18-37,3
s.e810fae4-ca58-4775-9deb-e8a7cf3968ea.txt,31144,31144,31144,31144,31144,31144,31144,"",0,2021-01-20-12-37,2021-01-20-12-49,12
s.60973fdd-cba5-41db-b410-f399bfc96e73.txt,204955,204955,204955,204955,204955,204955,204955,"",0,2021-03-15-15-35,2021-03-15-15-43,8
s.fc08e7e7-4dda-4fff-a9fe-9ea4535247d7.txt,31560,31560,31560,31560,31560,31560,31560,"",0,2021-03-16-22-30,2021-03-16-22-37,7
s.7bd48988-44f6-454c-b8b2-6beb9a27f856.txt,18938,18938,18938,18938,18938,18938,18938,"",0,2021-05-18-16-57,2021-05-18-17-01,4
s.94fff300-6c89-44c5-a506-3cc64d792062.txt,47739,47739,47739,47739,47739,47739,47739,"",0,2021-04-05-15-42,2021-04-05-15-52,10
s.4b742b6b-ecfc-41ee-a8f8-5a121d71d015.txt,16249,16249,16249,16249,16249,16249,16249,"",0,2020-12-02-18-08,2020-12-02-18-14,6
s.41b510db-ed8b-486d-bd03-812f2e4a621d.txt,16749,16749,16749,16749,16749,16749,16749,"",0,2020-11-28-12-30,2020-11-28-12-37,7
s.5aa3d7ce-6550-48ba-b0db-492bc818dae7.txt,24854,24854,24854,24854,24854,24854,24854,"",0,2021-03-16-12-46,2021-03-16-12-54,8
s.286a8b89-1c8f-4386-989d-df1479c551bf.txt,200433,200433,200433,200433,200433,200433,200433,"",0,2021-03-16-17-15,2021-03-16-17-26,11
s.baeb4287-de05-4f3d-be00-8e2ea2e4bf22.txt,36556,36556,36556,36556,36556,36556,36556,"",0,2021-03-16-17-25,2021-03-16-17-30,5
s.57856cad-a4e1-4b03-8cf8-81065021a5d2.txt,31681,31681,31681,31681,31681,31681,31681,"",0,2021-03-17-11-32,2021-03-17-11-39,7
s.ffa0903a-964a-41b0-929f-93b7b31d49b2.txt,56069,56069,56069,56069,56069,56069,56069,"",0,2021-12-27-10-50,2021-12-27-10-56,6
s.aef57125-2096-4987-b1e9-c37f375fd23f.txt,36851,36851,36851,36851,36851,36851,36851,"",0,2021-03-16-11-15,2021-03-16-11-22,7
